idna_subject,checker_type,destination,source,tested_at,session_id
0-112.api.btcc.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:41.218588,acfbf64650cefd134d1f5fb2
0-112.btcc.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:42.373531,acfbf64650cefd134d1f5fb2
0-113.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:42.625311,acfbf64650cefd134d1f5fb2
0-113.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:42.901917,acfbf64650cefd134d1f5fb2
0-113.dev.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:43.191501,acfbf64650cefd134d1f5fb2
0-113.eu.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:43.494412,acfbf64650cefd134d1f5fb2
0-113.openvpn.www.eth.bw.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:47.318421,acfbf64650cefd134d1f5fb2
0-113.us.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:47.576967,acfbf64650cefd134d1f5fb2
0-117939.api.btcc.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:48.807247,acfbf64650cefd134d1f5fb2
0-117939.btcc.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:50.040608,acfbf64650cefd134d1f5fb2
0-13.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:50.314134,acfbf64650cefd134d1f5fb2
0-13.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:50.625004,acfbf64650cefd134d1f5fb2
0-13.dev.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:50.928069,acfbf64650cefd134d1f5fb2
0-13.eu.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:51.175191,acfbf64650cefd134d1f5fb2
0-13.us.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:51.431364,acfbf64650cefd134d1f5fb2
0-130.openvpn.www.eth.bw.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:54.967326,acfbf64650cefd134d1f5fb2
0-131.openvpn.api.f2pool.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:56.174743,acfbf64650cefd134d1f5fb2
0-131.openvpn.f2pool.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:57.383247,acfbf64650cefd134d1f5fb2
0-131.openvpn.openvpn.f2pool.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:58.577632,acfbf64650cefd134d1f5fb2
0-132.api.btcc.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:46:59.750540,acfbf64650cefd134d1f5fb2
0-132.btcc.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:00.965652,acfbf64650cefd134d1f5fb2
0-133.openvpn.api.f2pool.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:02.100712,acfbf64650cefd134d1f5fb2
0-133.openvpn.f2pool.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:03.307682,acfbf64650cefd134d1f5fb2
0-133.openvpn.openvpn.f2pool.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:04.448270,acfbf64650cefd134d1f5fb2
0-14.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:04.709414,acfbf64650cefd134d1f5fb2
0-14.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:04.983389,acfbf64650cefd134d1f5fb2
0-14.dev.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:05.234723,acfbf64650cefd134d1f5fb2
0-14.eu.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:05.525332,acfbf64650cefd134d1f5fb2
0-14.openvpn.www.eth.bw.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:08.602558,acfbf64650cefd134d1f5fb2
0-14.us.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:08.852730,acfbf64650cefd134d1f5fb2
0-142.openvpn.www.eth.bw.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:11.460447,acfbf64650cefd134d1f5fb2
0-144-243f1.fbjs.facebook.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:12.117823,acfbf64650cefd134d1f5fb2
0-145-9.api.btcc.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:13.333114,acfbf64650cefd134d1f5fb2
0-145-9.btcc.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:14.493959,acfbf64650cefd134d1f5fb2
0-145.openvpn.www.eth.bw.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:17.512509,acfbf64650cefd134d1f5fb2
0-15.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:17.762277,acfbf64650cefd134d1f5fb2
0-15.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:18.014303,acfbf64650cefd134d1f5fb2
0-15.dev.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:18.303642,acfbf64650cefd134d1f5fb2
0-15.eu.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:18.557788,acfbf64650cefd134d1f5fb2
0-15.openvpn.www.eth.bw.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:20.948318,acfbf64650cefd134d1f5fb2
0-15.us.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:21.207887,acfbf64650cefd134d1f5fb2
0-150-192.api.btcc.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:22.426727,acfbf64650cefd134d1f5fb2
0-150-192.btcc.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:23.674050,acfbf64650cefd134d1f5fb2
0-151.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:23.941927,acfbf64650cefd134d1f5fb2
0-152.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:24.194528,acfbf64650cefd134d1f5fb2
0-152.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:24.443726,acfbf64650cefd134d1f5fb2
0-152.dev.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:24.674750,acfbf64650cefd134d1f5fb2
0-152.eu.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:24.943853,acfbf64650cefd134d1f5fb2
0-152.us.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:25.225575,acfbf64650cefd134d1f5fb2
0-153.openvpn.www.eth.bw.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:28.005180,acfbf64650cefd134d1f5fb2
0-157-99-m.lite.facebook.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:28.671280,acfbf64650cefd134d1f5fb2
0-16.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:28.899017,acfbf64650cefd134d1f5fb2
0-16.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:29.165674,acfbf64650cefd134d1f5fb2
0-16.dev.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:29.435320,acfbf64650cefd134d1f5fb2
0-16.eu.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:29.687189,acfbf64650cefd134d1f5fb2
0-16.us.api.binance.com,AVAILABILITY,domains.txt,domains.txt,2021-06-03 23:47:29.986169,acfbf64650cefd134d1f5fb2
